,Pais,Estado,Sexo,Estado Civil,Num Hijos,Religión,Fecha Pre-registro,Nacionalidad,Licenciatura: Institución,Licenciatura: Programa,Licenciatura: Promedio,Licenciatura: Tipo Titulación,Licenciatura: Fecha Titulación,aspirantePosgradoId,Edad,Aceptado
91,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2023-05-25 00:00:00,FALSO,UNIVERSIDAD DE SONORA,INGENIERÍA INDUSTRIAL Y DE SISTEMAS,"85,58",EXAMEN NACIONAL DE CALIDAD (CENEVAL),26/06/2023,193263,22,FALSO
92,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2023-05-26 00:00:00,FALSO,UNISON,INGENIERÍA EN SISTEMAS DE INFORMACIÓN,"89,35",NINGUNO,,193124,26,FALSO
93,MÉXICO,SONORA,HOMBRE,CASADO(A),3,CATÓLICA,2023-05-25 00:00:00,FALSO,UNIVERSIDAD DE SONORA,INGENIERÍA INDUSTRIAL Y DE SISTEMAS,83,EXAMEN NACIONAL DE CALIDAD (CENEVAL),31/10/2008,188160,39,FALSO
94,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2023-05-26 00:00:00,FALSO,UNIVERSIDAD DE SONORA,LICENCIATURA EN FÍSICA,91,NINGUNO,18/11/2021,193268,26,FALSO
95,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2023-05-26 00:00:00,FALSO,UNIVERSIDAD DEL VALLE DE MEXICO,LICENCIATURA EN DERECHO,85,POR PROMEDIO,24/11/2015,193275,30,FALSO
96,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2023-05-26 00:00:00,FALSO,INSTITUTO TECNOLÓGICO DE HERMOSILLO,INGENIERÍA MECATRÓNICA,"92,16",TRABAJO PROFESIONAL,15/06/2023,191764,23,FALSO
97,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2023-05-26 00:00:00,VERDADERO,UNIVERSIDAD DE SONORA,LICENCIATURA EN FÍSICA,90,POR PROMEDIO,,193278,24,VERDADERO
98,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2023-05-26 00:00:00,FALSO,UNISON,LICENCIATURA EN MATEMATICAS,"89,7",TESIS PROFESIONAL,05/10/2018,193283,28,FALSO
99,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2023-05-26 00:00:00,FALSO,UNISON,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,"87,74",POR PROMEDIO,14/03/2023,193283,28,FALSO
100,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,,FALSO,UNISON,LIC. CIENCIAS DE LA COMPUTACIÓN,"91,71",POR PROMEDIO,20/01/2023,193256,23,FALSO
